,Company,Location,Salary,Search City,Summary,Title
503,        Morgan Stanley,"New York, NY 10032 (Washington Heights area)",,New+York,The Modeling team and other MSSM project based teams such as Core Analytics and Core Electronic Trading provide quantitative solutions to multiple....,Data Scientist / Modeler
504,        Mount Sinai Health System,"New York, NY 10029 (Yorkville area)",,New+York,"Experience with computational science, databases, statistical programming, biomedical informatics, EMRs, natural language processing, machine learning,...",Data Scientist - Scientific Computing
505,        WebMD,"New York, NY",,New+York,"Medscape, a division of WebMD, develops and hosts physician portals and related mobile applications that make it easier for physicians and healthcare...",Data Scientist
506,        JPMorgan Chase,"Manhattan, NY",,New+York,"Digital Data Scientist. 5+ years of combined industry and/or academic (BS/MS/PhD) experience, with an emphasis on machine learning and data analysis....",Digital Data Scientist
507,"        Syntel Inc.,","New York, NY 10006 (Financial District area)",,New+York,"Senior Data Scientist. Developing data validation methods. This is Full time position with Syntel Inc., including Health and Relocation benefits*....",Data Scientist
508,        Aetna,"New York, NY 10016 (Gramercy area)",,New+York,"This position will use predictive and behavioral analytics, and analytically derived insights to develop and test solutions that improve consumer engagement,...",Data Scientist
509,    Alpha Global Search LLC,"New York, NY",,New+York,An International Asset Management firm is seeking a Research Analyst to join their Emerging Markets/Latin American Equity Portfolio Management team. The,Emerging Markets Equity Research Analyst
510,        VISITING NURSE SERVICE OF NEW YORK,"Manhattan, NY",,New+York,"Prepares budgets and financial reports for current and pending grants and projects (e.g., develops spreadsheets for estimating/tracking expenditures on project...",Research Analyst II
511,        Bloomberg,"New York, NY",,New+York,Champion plans aimed to transform Bloomberg's data platform alongside a host of diverse and talented engineers and data scientists....,Senior Product Development Manager
512,"    Sensory, Inc",United States,,New+York,In data analysis and utilization of machine learning techniques for solving pattern classification problems....,Research Scientist-Emerging Technology [3-5 Yrs Exp.)Boulder...
513,        Ferring Pharmaceuticals,"Parsippany, NJ 07054",,New+York, Contribute to clinical development programs & study designs.  Scientific reporting and working knowledge of SAS....,Project Statistician
514,        Verizon,"New York, NY 10003 (Greenwich Village area)",,New+York,"Knowledge of machine learning, natural language processing, text analytics, regression modeling and statistical analysis methods....",Data Scientist - Entry Level
515,    Dataiku,"New York, NY",,New+York,"Familiarity with data visualization in R or Javascript. Our ideal candidate is comfortable learning new languages, technologies and modeling techniques, while...",Data Scientist - USA
516,        MediaMath,"New York, NY",,New+York,"Rapidly develop a deep understanding of the quantitative methodologies and implementation details behind existing machine learning algorithms in place, and the...",Data Scientist II
517,    Averity,"New York, NY","$90,000 - $110,000 a year",New+York,This is an opportunity for an experienced Data Scientist to use your passion for advanced analytics and Big Data to impact our company's success....,Mid-level Data Scientist For Top Travel Company
518,    Countr,"New York, NY",,New+York,Data is your mojo...gets a thrill diving deep into data and solving complex data problems on a daily basis....,Data Scientist
519,        Amazon Corporate LLC,"New York, NY",,New+York,Leading in Machine Learning requires the best scientists in the world. The Amazon Web Services (AWS) Machine Learning group is looking for scientists to join...,Data Scientist
520,    Astrid Solutions,"New York, NY",,New+York,Knowledge of current trends in Big Data frameworks and Data pipeline architecture is preferred. This is an opening to fill a Data Scientist consulting position...,Data Scientist
521,        KPMG,"New York, NY 10154 (Midtown area)",,New+York,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. KPMG is currently seeking a Data Scientist to join our...",Data Scientist
522,    Dia&Co,"New York, NY",,New+York,"Dives deep into problems to truly understand them before approaching a solution. Python, R, Matlab, SQL). In a relevant field, with knowledge of statistics,...",Data Scientist
523,        KOCH MINERALS,"New York, NY",,New+York,"Use industry technologies, tools and data mining frameworks for data analytics including data visualization for analyzing, optimizing, developing hypothesis and...",Data Scientist
524,    Harnham,New York State,,New+York,Inspire and motivate a team of analysts and scientists. VP of Data. Seek out opportunities where machine learning and related algorithms will help scale the...,VP of Data
525,        EY,"New York, NY",,New+York,"The role of the Forensic Technology & Discovery Services (“FTDS”) Data Scientist Manager includes maintaining, extending, and optimizing the current...",FIDS - Forensic Technology & Discovery Services Manager - Da...
526,        NYU Langone Medical Center,"New York, NY",,New+York,"And Hassenfeld Children’s Hospital, a comprehensive pediatric hospital supporting a full array of children’s health services across the medical center – plus...",Epic Cupid Analyst
527,        Michael Page US,"New York, NY",,New+York,"Responsible for Independent Model validation and performance monitoring- assessing conceptual soundness, evaluating data integrity, performing outcomes analyses...",Model Market Risk Quantitative Analyst
528,        NYU Langone Medical Center,"New York, NY 10016",,New+York,"Analyze data for performance trends, significant results (variances) and opportunities for improvement based on sound scientific methodology....",Senior Performance Analyst (Dashboard Analytics - Hospital O...
529,    Inficare,"New York, NY",,New+York,"Optimization, Machine learning, Data mining, AI, Simulation, Social network analysis, Churn prediction, Segmentation analysis, Text analysis and Streaming data...",Data Scientist
530,        Capital One,"New York, NY",,New+York,"Senior Associate, Data Scientist. Integrating with external data sources and APIs to discover interesting trends....","Senior Associate, Data Scientist"
531,        Macy's,"New York, NY",,New+York,"(preferred) in relevant technical field such as Applied Mathematics, Computer Science, Engineering, Physics, or Economics....",Data Scientist
532,    Tilting Point,"New York, NY",,New+York,"As Data Scientist, you will work to ensure accurate data reporting in a rapidly changing environment. In depth statistical, machine learning, and Bayesian...",Data Scientist
533,        AIG,"New York, NY",,New+York,"And modern machine learning techniques (Gradient Boosted Trees, Random Forests, Kernel Methods, Deep Learning, etc.)....",Manager Data Scientist
534,        Comcast,"New York, NY 10112 (Midtown area)",,New+York,Are you ready to go beyond classic predictive analytics and machine learning to newer areas like deep learning and micro-contextual analytics to obtain...,Data Scientist II
535,    ExecThread,"New York, NY",,New+York,You’ll be responsible for identifying trends and insights within our rich data set and then automating and developing tools and algorithms around those trends....,Lead Data Scientist
536,        Guidepoint Global,"New York, NY",,New+York,"From MB of numeral data needing multi-variable statistical assessment to TB of text based data requiring machine learning and lexical indexing and analysis, you...",Data Scientist / Lead Quantitative Analyst
537,    YouNow,"New York, NY",,New+York,Conduct in-depth research and analyses that translate data into actionable insights. Collaborate with the data science team on new data products and initiatives...,Data Scientist/Analyst
538,        OnDeck,"New York, NY",,New+York,Join our team of data scientists as we work to understand small business better than any other lender. Conduct deep dives into the performance of our portfolio...,Risk Data Scientist
539,        State Street,"New York, NY",,New+York,"Project Pharos is a new mobile fintech solution being developed by State Street Global Exchange, the data & analytics division of State Street Corporation, is...","Lead Content and Research Manager, Global Exchange, Assistan..."
540,        NYU Langone Medical Center,"New York, NY",,New+York,"And Hassenfeld Children’s Hospital, a comprehensive pediatric hospital supporting a full array of children’s health services across the medical center – plus...",Lead Network Engineer
541,        Michael Page US,"New York, NY",,New+York,"Minimum of a Bachelors Degree in a relevant area. Conduct model validation of relevant products, particularly Foreign Exchange & Fixed Income....",Quantitative Model Validation Analyst
542,        Hearst Digital Media,"New York, NY",,New+York,"Ability to provide guidance to data scientists, engineers and other team members. THE DATA SERVICES TEAM AT HEARST, PART OF CORPORATE TECHNOLOGY, IS THE SOURCE...",DataOps Engineer / Data Science
543,        Regeneron,"Tarrytown, NY",,New+York,Working in close association with Clinical Pharmacology generate exploratory post hoc Tables and Figures from raw data in LIMS and clinical study database....,"Sr. Statistical Programmer, Pharmacometrics"
544,        Axial,"New York, NY 10178 (Midtown area)",,New+York,"As part of a team of data engineers, data scientists and analysts, you will be responsible for turning our data assets into valuable insights, for both business...",Data Analyst
545,    Jet,"Hoboken, NJ",,New+York,A deep understanding of machine learning and is interested in applying it at scale. As Data Scientist you will apply machine learning and optimization...,"Data Scientist, Search"
546,        Google,"New York, NY 10011 (Chelsea area)",,New+York,Experience with data analytics and/or data visualization techniques and software. Experience interpreting technical data and creating reports with data....,"Machine Learning Deployment Engineer, Professional Services,..."
547,    Correlation One,"New York, NY",,New+York,"Our Data Scientists get to work on solving various problem types across various domains (Financial Risk, Telco Churn, Maintenance Failure, Marketing, Oil & Gas...",Data Science Engineer
548,    SITO Mobile,"Jersey City, NJ",,New+York,"A mixture of analytical approaches are required including raw data mining, data visualization, application of rules and heuristics and supervised / unsupervised...",Data Scientist
549,        Google,"New York, NY 10011 (Chelsea area)",,New+York,"Currently pursuing a BS, MS or PhD in statistics, computer science, mathematics, economics, biostatistics, psychology, sociology, physics, operations research,...","Quantitative Analyst Intern, Summer 2017"
550,    Schrodinger,"New York, NY",,New+York,"Familiarity with deep learning, neural networks, random forest, support vector machines, and other machine learning techniques....",Machine Learning Engineer
551,        Intersection,"New York, NY",,New+York,"This person will hire, manage, train and retain a team of data scientists. Candidates must possess a deep working knowledge of data management platforms,...",Data Analytics Manager
552,        Rent the Runway,"New York, NY 10013 (Tribeca area)",,New+York,Apply expertise in quantitative analysis and data mining to see beyond the numbers and extract actionable insights on how our customers use our service and...,Data Analyst / Data Scientist
553,    BankRate.com,"New York, NY",,New+York,Able to tell compelling stories with data and a deep appreciation for both the power and limits of data. 5+ years experience as a Data Scientist in internet...,Vice President of Data Science
554,        NYU Langone Medical Center,"New York, NY",,New+York,"In addition, the Clinical Data Manager will have experience in reports programming, output validation, and project documentation, as well as possess working...",Clinical Data Manager
555,        NYU Langone Medical Center,"New York, NY 10016",,New+York,"And Hassenfeld Children’s Hospital, a comprehensive pediatric hospital supporting a full array of children’s health services across the medical center – plus...",Practice Manager
556,    Predictive Science,"New York, NY",,New+York,Data Scientist Data Scientist Data Analyst Data Associate Data Science Apprentice. Experience in analyzing data from business line data applications and data...,Chief Data Scientist
557,"    Cognical, Inc.","New York, NY 10001 (Chelsea area)",,New+York,Extract insights from highly complex data sets to identify credit and fraud risk patterns through advanced data mining and machine learning techniques....,Data Scientist
558,        KPMG,"New York, NY 10154 (Midtown area)",,New+York,"Utilize analytics to explore data, and identify key trends and insights from multi-faceted, and high-dimensional data, and work with data scientists to create...",Data Visualization Software Engineer
559,        Facebook,"New York, NY",,New+York,"Responsibilities Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users...","Data Scientist, Analytics"
560,        Bank of America,"New York, NY",,New+York,"Ability to manage multiple work efforts and to quickly change direction as needed. Expertise in one of R, SAS, C++, MatLab, Java....",Quantitative Finance Analyst
561,        Gilt Groupe,"New York, NY 10016 (Gramercy area)",,New+York,"Machine Learning Data Scientist. R, Python/scikit-learn, Scala/Spark/mllib), with SQL. You will be joining the Personalization and Machine Learning team to...",Machine Learning Data Scientist
562,        Spotify,"New York, NY 10011 (Chelsea area)",,New+York,You will work in collaboration with other mathematicians and scientists in Research and with data engineers and design technologists across Analytics to imagine...,Research Lead / Data Scientist
563,        IBM Kenexa,"New York, NY",,New+York,"You take pride in assisting and educating data scientists and engineers with building data driven systems. The Weather Company, an IBM Business, is seeking a...",Data Engineer
564,    SoundCloud,"New York, NY 10003 (Greenwich Village area)",,New+York,"We’re looking for Data Scientists to join our Data Science team to help us make data-informed decisions across a number of areas in our organization, including...","Data Scientist, Analytics"
565,        Foursquare,"New York, NY",,New+York,"Strategic analytics, marketing analytics, digital analytics, data analytics, statistics, data science, big data, normalization schemes, modeling, quant research...",Analytics
566,        Credit Suisse,"New York, NY 10022 (Midtown area)",,New+York,"This role demands niche skills in PNL, Machine Learning and Big Data Analytics. Research, design, implement and validate cutting-edge Machine Learning...",Data Scientist
567,        NYU Langone Medical Center,"New York, NY",,New+York,"To qualify you must have a Graduate degree in Business, Public Health, Health Administration or a related discipline and a minimum of four to five years...",Director of Patient Screening & Navigation Programs
568,        Michael Page US,"New York, NY",,New+York,"Manage projects and serve as subject matter expert to the bank on regulatory matters. Advanced knowledge of SQL, Python, Machine Learning, C/C++, Java....",Financial Modeler / Data Scientist (AVP/VP)
569,    Analytics Staffing Solutions,"New York, NY",,New+York,You will be working alongside our clients senior developers and linguistic scientists as they build the next generation of language understanding automation We...,Chat Bot Developer
570,    Cornerstone Search Group,"Parsippany, NJ",,New+York,Experience collaborating with quantitative scientists and analysts. Strong knowledge of research methodology and statistical methods in the field of prospective...,"Executive Director, Real World Evidence"
571,        Superior Group,"Tarrytown, NY",,New+York,Candidate provides support to the clinical affairs staff by monitoring data and ensuring clinical study documentation is complete....,Scientist 3
572,        Dow Jones,"New York, NY 10001 (Chelsea area)",,New+York,"The candidate will be embedded in the Data Science and Data Analytics groups, and will work closely with cross-functional teams to deliver high-impact insights...",Experiment Data Analyst / Statistician
573,        Federal Reserve Bank of New York,"New York, NY",,New+York,"Lead a team of project managers, business analysts, applied data scientists, and data management experts in the development of a desktop and technology strategy...","Department Head, Applied Strategy - Data & Statistics"
574,        Spencer Ogden,"New York, NY",,New+York,"Seeking Data Scientist (5 years) with experience working on data service products / algorithms. Data modelling, datasets, regression, statistics....",Data Scientist
575,    VaynerMedia LLC,"New York, NY",,New+York,Potential Applications of Data Science at VaynerMedia:. Prototype new data driven features for our reporting platform....,Data Scientist - AdTech
576,    Kate Spade & Company,"New York, NY",,New+York,"Your primary focus will be in applying data mining techniques, performing statistical analysis, generating actionable insights, and producing basic data...",Data Analyst
577,        Intersection,"New York, NY",,New+York,"Software Engineer, Machine Learning at Intersection. Strong proficiency with algorithms and data structures....","Software Engineer, Machine Learning"
578,    DataKind,"New York, NY",,New+York,"A Creative Data Scientist. And, you will easily translate between our partners and volunteer data scientists because you are well versed in both social sector...",Data Science Manager
579,        Spotify,"New York, NY 10011 (Chelsea area)",,New+York,"As Data Scientist, our mission is to turn terabytes of data into insights and get a deep understanding of how our people use our apps to impact the product,...",Senior Data Scientist - Advertising Product and Platforms
580,        AIG,"New York, NY",,New+York,"Understanding complex business challenges, designing scientific solutions, manipulating large data sets, using cutting edge machine learning or statistical...","Director, Data Scientist/Modeler"
581,    Dataminr,"New York, NY",,New+York,"Solid background in data mining, data visualization, statistical analysis, computational NLP or machine learning with at least 5 years experience....",Data Scientist
582,        NYU Langone Medical Center,"New York, NY",,New+York,"And Hassenfeld Children’s Hospital, a comprehensive pediatric hospital supporting a full array of children’s health services across the medical center – plus...",Registered Nurse - Perlmutter Cancer Center Infusion 34th St...
583,    The Muse,"New York, NY",,New+York,"Your collaborative work with our data scientists and analysts will enable real-time user behavior analysis, bringing new levels of personalization to our site’s...",Data Engineer
584,        NYU Langone Medical Center,"New York, NY",,New+York,"And Hassenfeld Children’s Hospital, a comprehensive pediatric hospital supporting a full array of children’s health services across the medical center – plus...",Senior Financial Services Associate
585,        Spotify,"New York, NY 10011 (Chelsea area)",,New+York,"Coding skills for analytics and data extraction (SQL, R, Python, Pandas) Data visualization (such as Tableau, Qlik, D3, ggplot) Experience performing analysis...",Senior Data Scientist (Product)
586,    Integral Ad Science,"New York, NY",,New+York,Propose and develop solutions independently and leading a group of other data scientists. The types of challenges we solve have attracted people from industry...,Data Scientist
587,        Squarespace,"New York, NY 10014 (West Village area)",,New+York,Experience implementing machine learning systems at scale in Python or similar (not just R or Matlab). We’re looking for creative people with analytical minds...,Software Engineer - Machine Learning
588,        FactSet,"New York, NY 10016 (Gramercy area)",,New+York,Processing of financial data. With our Machine Learning and Language Technologies(MLT). FactSet is a financial data. Financial information and analytics....,Machine Learning Engineer Internship
589,        Columbia University,"New York, NY",,New+York,"He/she will work with clinical researchers, other data analysts, biostatisticians and bioinformaticians to generate and integrate clinical and EHR datasets for...",Data Analyst - Cardiology
590,        Google,"New York, NY 10011 (Chelsea area)",,New+York,"Deep interest and aptitude in data, metrics, analysis and trends and applied knowledge of measurement, statistics and program evaluation....","Product Analyst, Data Science"
591,"    Two Sigma Investments, LLC.","New York, NY",,New+York,Develop machine learning algorithms for financial datasets. We believe that the scientific method is the best way to approach....,Quantitative Researcher in Machine Learning
592,        JPMorgan Chase,"New York, NY",,New+York,"Data Scientist - New York, NY. Your expertise and insights will provide optimization for marketing plans (media), test design, reporting, and analytics....",Digital Marketing/Search Analytics – Sr. Data Scientist - Ne...
593,    The Expert Institute,"New York, NY 10043 (Midtown area)",,New+York,You will spend much of your time interacting with subject matter experts via email and conference calls to vet and screen the perfect candidate for each...,Research Analyst
594,    RangTech,"New York, NY",,New+York,"Web analytics, Data mining techniques application for large data. Experience/Interest in machine learning, data mining, and predictive analysis....",Data Scientist
595,"        Amazon Web Services, Inc.",United States,,New+York,"A successful candidate will bring deep technical and software expertise, strong business acumen and judgment, ability to define visionary, ground breaking...","Director of Software Engineering, Machine Learning- Relocati..."
596,    Laguna Source,"New York, NY 10039",,New+York,This is an exciting opportunity responsible for performing Manufacturing Sciences & Technology (MS&T) related downstream purification manufacturing activities...,"Sr Process Scientist/Engineer, Downstream Purification MSAT"
597,        NYU Langone Medical Center,"New York, NY",,New+York,"And Hassenfeld Children’s Hospital, a comprehensive pediatric hospital supporting a full array of children’s health services across the medical center – plus...",Finance Project Manager
598,        NYU Langone Medical Center,"New York, NY",,New+York,"And Hassenfeld Children’s Hospital, a comprehensive pediatric hospital supporting a full array of children’s health services across the medical center – plus...",Supervisor-Building Service
599,    Ajulia Executive Search,"Millburn, NJ 07041",,New+York,"Interact with Manufacturing Process Teams, development scientists and molecule stewards, within and across Lilly sites....",Research Scientist
600,        BET Networks,"New York, NY 10019 (Midtown area)",,New+York,"The Research Analyst, Consumer Insights, is an entry-level position that will be responsible for the generating compelling consumer insights about the African...","Research Analyst, Consumer Insights"
601,        PlaceIQ,"New York, NY",,New+York,"From building data pipelines to regression models/classification algorithms, complex data visualizations to geospatial clustering, a full stack enterprise...",Data Engineer
602,        Grubhub,"New York, NY",,New+York,You’ll also be helping to build out an API for machine learning projects we work on. Should also be able to package them into conceptual features available...,Data Scientist
603,        JPMorgan Chase,"New York, NY",,New+York,"Experience in practical data processing, data mining, text mining and information retrieval tasks. Will help build a foundation of state-of-the-art technical...",CIB-Rapid Prototyping Data Scientist – Vice President - New...
604,        Caresource,"New York, NY",,New+York,"Our multidisciplinary team of scientists, engineers, physicians, and regulatory consultants brings together more than 90 different disciplines to solve...",Database Engineer
605,    Wade & Wendy,"New York, NY",,New+York,"Our data scientist will integrate data from web sources, real-time adaptive questioning, and human-intelligence, to develop algorithms that create smart...",Sr. Data Scientist
606,    Correlation One,"New York, NY",,New+York,Using machine learning and other statistical methods on unstructured data in order to draw insights and understand trends....,Data Scientist
607,        United Nations,"New York, NY",,New+York,"Plan and conduct analytical programmes of work in relevant areas of demographic and population statistics, such as census and vital statistics activities,...",STATISTICIAN
608,        The Nielsen Company,"New York, NY 10003 (Greenwich Village area)",,New+York,"Our Data Scientists come from diverse disciplines such as statistics, research methodology, mathematics, psychology, business, engineering and demography....","Manager, Data Science"
609,    MakerBot,"New York, NY",,New+York,"Big Data Ecosystems:. As Big Data Engineer, you would:. As a Big Data Engineer, you should have:. Source-systems include Salesforce, Sage X3 ERP, MakerBot.com,...",Big Data Engineer
610,    InfiCare Technologies,"New York, NY 10001",,New+York,"Required Skills 10or more years of knowledge inanalytics, machine learning, databases, programming and architecture Solid knowledge of several modeling and...",Data Scientist with Big Data Exp.
611,    Confidential Company,"Parsippany, NJ 07054",,New+York,Long Term ContractLocation Parsippany NJ The Data Science Associate will assist in developing greater insights into customer behavior and market conditions...,Data Science Associate
612,        NYU Langone Medical Center,"New York, NY",,New+York,"Graphic display of results (such as run charts, control charts, dashboards) > Demonstrated skills in project management, performance improvement, time/change...",Senior Practice Improvement Coordinator-GNYC PTN
613,        NYU Langone Medical Center,"New York, NY",,New+York,Evaluates treatment and health care plans for effectiveness and modifies per clinical standards and practice protocols....,"Family Nurse Practitioner, Huntington Medical Group - Long I..."
614,        NYU Langone Medical Center,"New York, NY 10016",,New+York,"And Hassenfeld Children’s Hospital, a comprehensive pediatric hospital supporting a full array of children’s health services across the medical center – plus...",Superintendent
615,    SmartyAds,"New York, NY",,New+York,"Data Mining, Data Visualization, ETL. Deep experience in machine learning and modeling methods. We are looking for an expert Data Scientist to work in our team....",Data Scientist
616,        Sony Music Entertainment,"New York, NY 10010 (Gramercy area)",,New+York,"Manage up to 20+ social research requests at any given time, by creating, maintaining and analyzing artist profiles across a variety of social analytics tools....","Analyst, Research Reporting & Analytics"
617,        Google,"New York, NY 10011 (Chelsea area)",,New+York,"The Google Cloud training team already develops and delivers Google Cloud Platform product and solution training to thousands of partners, end-users and...","Cloud Instructor (Big Data, Machine Learning), Google Cloud..."
618,    7Park Data,"New York, NY",,New+York,"Review internal and external analytical techniques, identify what data is available and relevant, source the necessary data....",Senior Data Scientist
619,    NRT LLC,"New York, NY",,New+York,"All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of disability, protected veteran status or...",Research Analyst
620,        AIG,"New York, NY",,New+York,"Being able to work independently to being a project from transaction level data to finish product. Master in at least one statistical modeling software (SAS,...",Manager of Predictive Modeling
621,"    Knotch, Inc.","New York, NY",,New+York,Develop the data roadmap using the most appropriate technologies and manage and expand in-house data teams to support growth....,Chief Data Scientist
622,        New York Life Insurance Co,"New York, NY",,New+York,The candidate will be exposed to a variety of projects and work with our Data Scientists. The Center for Data Science and Analytics serves as the Analytics...,TEMPORARY STUDENT ASSIGNMENT: Data Scientist/Statistician
623,    Digital Reasoning,"New York, NY",,New+York,"3+ professional experience with modeling and analysis, computational linguistics/NLP, semantic web technology, machine learning, and/or large-scale data mining....",Data Scientist
624,        Wyndham Destination Network,"Parsippany, NJ",,New+York,The Data Scientist role provides a great opportunity for a creative and motivated individual who is passionate about using data and technology to drive...,Data Scientist
625,        PulsePoint,"New York, NY",,New+York,"MS/PhD in Applied Mathematics, Statistics, Machine Learning, Computer Science or BS with several years of applied Machine Learning experience....",Sr. Data Scientist
626,"    Archer I.T., LLC","New York, NY 10010",,New+York,"Machine learning and statistics backgroundserver-side software, multithreaded, concurrent programming in Java or Scaladata analysis using R, Python, Matlab...",Senior Machine Learning Java / Scala Developer / Data Engine...
627,        Accenture,"Dallas, TX",,Dallas,Minimum of 2 years of Data Analysis / Data Analytics / Data Scientist experience. Minimum of 3 years of SQL and/or Excel experience....,Wireless Network Analytics Consultant
628,        Hewlett Packard Enterprise,"Plano, TX",,Dallas,We are looking for a lead information architecture software engineer that has extensive experience developing advanced software solutions that require...,Information Architecture Security Data Scientist
629,"    Resolvity, Inc","Irving, TX 75038",,Dallas,Knowledge of current artificial intelligence and machine learning techniques including Deep Belief Networks (DBNs) or Deep Neural Networks(DNN)....,Machine Learning Programmer - Speech Recognition
630,        Adept Solutions,"Plano, TX",,Dallas,Data...,Data Scientist
631,"        Copart, Inc","Dallas, TX 75254 (Far North area)",,Dallas,"Hands-on experience in data manipulation, data mining, statistics, web analytics, and descriptive analytics....",Data Scientist
632,    shrikon,"Plano, TX",,Dallas,"Identifies what data is available and relevant, including internal and external data sources, leveraging new data collection processes....",Data Scientist
633,        Labcorp,"Dallas, TX",,Dallas,Process and analyze data to support clinical and financial initiatives. Develop and maintain data preparation and validation routines to support the reporting...,Research and Data Analyst
634,    Oscar Technology,"Dallas-Fort Worth, TX","$180,000 a year",Dallas,"""How much will our customers spend next year?""""What factors affect our business costs?""""How much will currency fluctuations affect international travel?""We have...",Data Science Director
635,        Exeter Finance Corporation,"Irving, TX 75039",,Dallas,"Working knowledge of R and prior work experience using R for data analysis preferred. Create and maintain re-usable code libraries (in R, SAS and SQL) that are...",Statistical Programmer
636,    Atos IT Services and Solutions Inc,"Dallas, TX",,Dallas,"5 years + hands-on experience in one or more Statistical Methods, such as machine learning, information retrieval, data mining, Text Mining, Natural Language...",Data Scientist
637,        Hewlett Packard Enterprise,"Plano, TX",,Dallas,We are looking for a lead information architecture software engineer that has extensive experience developing advanced software solutions that require...,Information Architecture Security Data Scientist
638,    latasoftek solutions llc,"Irving, TX",,Dallas,Partner with Analytics organization to design and develop dashboards for visualization of key metrics to derive insights • ;...,Data Scientist
639,        Verizon,"Irving, TX 75038",,Dallas,"Or Master’s Degree in operations research, applied statistics, data mining, machine learning, physics, related quantitative discipline or work experience....",Senior Data Scientist
640,    Profiles,"Plano, TX",,Dallas,"Strong analytic skills, including the ability to analyze and interpret large data sets from various sources, identify insights and synthesize how these insights...",Marketing Research Analyst
641,        Deloitte,"Dallas, TX",,Dallas,"Perform data studies and data discovery routines for video, voice, weblog, sensor, machine and social media data sources or mash ups of new and existing data...",Advanced Analytics Enablement Big Data Senior Consultant
642,    Big Wednesday Digital,United States,,Dallas,"Data Scientist / Machine Learning Expert. An earned stripes in coding, in data handling, in statistics and in machine learning (3-5 years of Data Science...","Data Scientist / Machine Learning Expert - Bangkok, Thailand"
643,        Amazon Corporate LLC,United States,,Dallas,"As a member of the Digital Products Machine Learning Data Platform team, you will be responsible for leading the development and launch of core platform...",Software Development Engineer - Alexa Machine Learning- Relo...
644,"    Ricerca Biosciences, LLC",United States,,Dallas,Review data for technical content and regulatory compliance. Coordinate the timely and compliant generation of data to support client projects....,Analytical Scientist (LC-MSMS / Extractables and Leachables)
645,        KPMG,"Dallas, TX",,Dallas,"Utilize analytics to explore data, and identify key trends and insights from multi-faceted, and high-dimensional data, and work with data scientists to create...",Data Visualization Software Engineer
646,    Sonsoft Inc,"Plano, TX",,Dallas,Becoming subject matter expert in Healthcare analytics Qualifications. Ensuring solutions and executing analytical projects using machine learning/text mining...,Data Scientist
647,        Nationstar Mortgage,"Lewisville, TX",,Dallas,Data mine a large population of data to help identify relevant information and build scripts to consolidate operational reporting elements....,Quantitative Analyst
648,    Tiger Analytics,"Dallas, TX",,Dallas,"We bring deep expertise in marketing science, customer analytics, operations & planning analytics, and risk analytics....",Principal Data Scientist
649,        Atos,"Dallas, TX",,Dallas,"5 years + hands-on experience in one or more Statistical Methods, such as machine learning, information retrieval, data mining, Text Mining, Natural Language...",Sr. Data Scientist
650,    STATinMED Research,"Plano, TX",,Dallas,"Responsible to analyze and interpret numerical data from studies, surveys, and other sources and apply statistical methodology to provide information for...",Statistical Analyst
651,        AT&T,"Plano, TX",,Dallas,Data Analytics or Machine Learning nanodegree; We need people who have the capacity to identify problem spaces where Machine Learning has never been applied...,Principal Data Scientist BIG DATA
652,        Infor,"Dallas, TX",,Dallas,"Provides unique operational contributions by acting in a self-directed manner within a valued contribution area of the Data Analytics group (e.g., data...",Data Analyst
653,        Army and Air Force Exchange Service (AAFES),"Dallas, TX","$70,770 a year",Dallas,Works with external vendor/partner resources for development of business and/or customer insights to personalization plans....,SR DATA SCIENTIST(CRM)
654,        Rent-A-Center,"Plano, TX",,Dallas,"SAS, R, or Python. Partner closely with members of the Data. Professional experience in analytics including the development of predictive. Proficient with SQL....",Data Scientist - Strategy & Analytics
655,    Predictive Science,"Dallas, TX",,Dallas,Data Scientist Data Scientist Data Analyst Data Associate Data Science Apprentice. Experience in analyzing data from business line data applications and data...,Chief Data Scientist
656,    Conquest IT Consulting,"Plano, TX 75023",,Dallas,Data Analytics or Machine Learning nanodegree; A capacity for translating ambiguous and competing business challenges into concise data-driven problems is very...,Data Scientist(W2 only)
657,        Amazon Corporate LLC,United States,,Dallas,"Work with engineers and scientists to define, design, and deliver software applications. On a day to day basis, you'll find yourself partnering across...",Principal Technical Program Manager- Relocation Opportunity
658,    Affinity Search,"Dallas, TX",,Dallas,Able to independently plan and manage projects. Skilled in statistical and data analysis and interpretation. Make final reports and presentations and generates...,Sensory Scientist
659,        KPMG,"Dallas, TX 75287 (Far North area)",,Dallas,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. Five years of professional experience working as a Data...",Sr Associate - Data Scientist
660,        Army and Air Force Exchange Service (AAFES),"Dallas, TX","$70,770 a year",Dallas,"Uses statistical modeling skills to manipulate and integrate diverse data sources, types and structures while ensuring data quality and integrity....",SR DATA SCIENTIST
661,        Parkland Hospital,"Dallas, TX",,Dallas,"As an experienced data analytic scientist, will be responsible for coordinating specific phases of data analytics (extraction, analysis, manipulation, synthesis...",Data Analytics Scien Lv 2-PCCI
662,        UT Southwestern Medical Center,"Dallas, TX 75390 (Northeast Dallas area)",,Dallas,"To the extent provided by applicable law, no person shall be excluded from participation in, denied the benefits of, or be subject to discrimination under any...",Computational Scientist- Bioinformatics
